PW (kg/m^2),,"Normalized clear-sky SWA (%, bin mean):",,,,,,,,
(bin center),,HadGEM2-ES,,GISS-E2-H,,CERES-EBAF/TOVS,,CERES-EBAF/RSS,,CERES-EBAF/SSMI
13,,17.76598052,,18.24232909,,19.78314146,,19.18297997,,19.22921992
15,,18.22231845,,18.28601807,,19.87635374,,19.66316182,,19.66587232
17,,18.65902946,,18.48593108,,20.18800168,,19.92950905,,19.90159997
19,,19.05011156,,18.66049176,,20.41346146,,20.1716479,,20.09790184
21,,19.37749939,,18.81307852,,20.56727982,,20.42369603,,20.34441622
23,,19.66181052,,18.93219566,,20.70556987,,20.66434148,,20.55760687
25,,19.91566789,,19.03009193,,20.90096681,,20.90534062,,20.77116273
27,,20.1529479,,19.10706402,,21.2330436,,21.11862759,,20.98202353
29,,20.38367694,,19.16936828,,21.54630009,,21.33740679,,21.16848111
31,,20.60766658,,19.23405581,,21.88250269,,21.5806216,,21.38738032
33,,20.8245463,,19.30205517,,22.18646926,,21.82559986,,21.63166068
35,,21.03530665,,19.35883122,,22.44483963,,22.05268217,,21.84441765
37,,21.24484487,,19.40046435,,22.71143444,,22.2716935,,22.0760527
39,,21.44066904,,19.43115656,,22.93621759,,22.47333435,,22.28961133
41,,21.62122869,,19.46423982,,23.21235664,,22.68572176,,22.49287984
43,,21.78865923,,19.4866564,,23.47063502,,22.89090418,,22.71259264
45,,21.95666164,,19.50205308,,23.71098107,,23.09808316,,22.90681522
47,,22.11710431,,19.50414376,,23.94235499,,23.30954251,,23.13673111
49,,22.255299,,19.50277569,,24.1339791,,23.53849311,,23.36365047
51,,22.38431856,,19.51475411,,24.30335081,,23.74393774,,23.58404344
53,,22.55909903,,19.53416695,,24.4604549,,23.93618944,,23.79329053
55,,22.9156758,,19.63036978,,24.81669688,,24.08954629,,23.95329712
57,,23.40191348,,19.8266015,,25.24333418,,24.24308817,,24.11540118
